Grade Level,Subject,TEK,STANDARD
High School,Earth Systems Science,9(B),investigate and model how surface water and ground water change the lithosphere through chemical and physical weathering and how they serve as valuable natural resources
High School,Earth Systems Science,9(C),"model the processes of mass wasting, erosion, and deposition by water, wind, ice, glaciation, gravity, and volcanism in constantly reshaping Earth's surface; and"
High School,Earth Systems Science,9(D),"evaluate how weather and human activity affect the location, quality, and supply of available freshwater resources"
High School,Earth Systems Science,10(A),describe how the composition and structure of the oceans leads to thermohaline circulation and its periodicity
High School,Earth Systems Science,10(B),"model and explain how changes to the composition, structure, and circulation of deep oceans affect thermohaline circulation using data on energy flow, ocean basin structure, and changes in polar ice caps and glaciers; and"
High School,Earth Systems Science,10(C),"analyze how global surface ocean circulation is the result of wind, tides, the Coriolis effect, water density differences, and the shape of the ocean basins"
High School,Earth Systems Science,11(A),"analyze how energy transfer through Milankovitch cycles, albedo, and differences in atmospheric and surface absorption are mechanisms of climate"
High School,Earth Systems Science,11(B),"describe how Earth's atmosphere is chemically and thermally stratified and how solar radiation interacts with the layers to cause the ozone layer, the jet stream, Hadley and Ferrel cells, and other atmospheric phenomena;"
High School,Earth Systems Science,11(C),model how greenhouse gases trap thermal energy near Earth's surface
High School,Earth Systems Science,11(D),evaluate how the combination of multiple feedback loops alter global climate
High School,Earth Systems Science,11(E),"investigate and analyze evidence for climate changes over Earth's history using paleoclimate data, historical records, and measured greenhouse gas levels"
High School,Earth Systems Science,11(F),"explain how the transfer of thermal energy among the hydrosphere, lithosphere, and atmosphere influences weather; and"
High School,Earth Systems Science,11(G),"describe how changing surface-ocean conditions, including El Niño-Southern Oscillation, affect global weather and climate patterns"
High School,Earth Systems Science,12(A),"evaluate the impact on humans of natural changes in Earth's systems such as earthquakes, tsunamis, and volcanic eruptions"
High School,Earth Systems Science,12(B),"analyze the impact on humans of naturally occurring extreme weather events such as flooding, hurricanes, tornadoes, and thunderstorms"
High School,Earth Systems Science,12(C),analyze the natural and anthropogenic factors that affect the severity and frequency of extreme weather events and the hazards associated with these events
High School,Earth Systems Science,12(D),"analyze recent global ocean temperature data to predict the consequences of changing ocean temperature on evaporation, sea level, algal growth, coral bleaching, and biodiversity"
High School,Earth Systems Science,12(E),"predict how human use of Texas's naturally occurring resources such as fossil fuels, minerals, soil, solar energy, and wind energy directly and indirectly changes the cycling of matter and energy through Earth's systems; and"
High School,Earth Systems Science,12(F),explain the cycling of carbon through different forms among Earth's systems and how biological processes have caused major changes to the carbon cycle in those systems over Earth's history
High School,Earth Systems Science,13(A),"analyze the policies related to resources from discovery to disposal, including economics, health, technological advances, resource type, concentration and location, waste disposal and recycling, mitigation efforts, and environmental impacts; and"
High School,Earth Systems Science,13(B),"explore global and Texas-based careers that involve the exploration, extraction, production, use, disposal, regulation, and protection of Earth's resources"
High School,Economics,1(A),explain why scarcity and choice are basic economic problems faced by every society
High School,Economics,1(B),"describe how societies answer the basic economic questions: what to produce, how to produce, and for whom to produce"
High School,Economics,1(C),"describe the economic factors of production: land, labor, capital, and entrepreneurship"
High School,Economics,1(D),interpret a production-possibilities curve and apply the concepts of opportunity costs and scarcity
High School,Economics,2(A),understand the effect of changes in price on the quantity demanded and quantity supplied
High School,Economics,2(B),identify the non-price determinants that create changes in supply and demand
High School,Economics,2(C),interpret a supply-and-demand graph using supply-and-demand schedules
High School,Economics,3(A),apply the concepts of absolute and comparative advantages
High School,Economics,3(B),"compare the effects of free trade and trade barriers on economic activities, including the benefits and costs of participating in international trade"
High School,Economics,3(C),analyze the effects of changes in exchange rates on imports and exports
High School,Economics,4(A),"explain the basic characteristics of economic systems, including property rights, incentives, economic freedom, competition, and the role of government"
High School,Economics,4(B),"contrast current and historic examples of the free enterprise system, socialism, and communism using the basic characteristics of economic systems"
High School,Economics,4(C),"analyze the contributions of various economic philosophers, including Friedrich Hayek, Milton Friedman, John Maynard Keynes, and Adam Smith, and their impact on the U.S. free enterprise system"
High School,Economics,5(A),"explain the benefits of the U.S. free enterprise system, including individual freedom of consumers and producers, variety of goods, responsive prices, investment opportunities, and the creation of wealth"
High School,Economics,5(B),"analyze recent changes in the basic characteristics, including private property, incentives, economic freedom, competition, and the limited role of government, of the U.S. economy"
High School,Economics,6(A),"analyze the costs and benefits of the purchase, use, or disposal of personal and business property"
High School,Economics,6(B),identify and evaluate examples of restrictions that the government places on the use of business and individual property
High School,Economics,7(A),interpret the roles of resource owners and firms in a circular-flow model of the economy and provide real-world examples to illustrate elements of the model
High School,Economics,7(B),explain how government actions affect the circular-flow model
High School,Economics,8(A),"describe characteristics and give examples of pure competition, monopolistic competition, oligopoly, and monopoly"
High School,Economics,8(B),identify regulations that apply to the establishment and operation of various types of market structures
High School,Economics,9(A),"interpret economic data, including unemployment rate, gross domestic product, gross domestic product per capita as a measure of national wealth, and rate of inflation"
High School,Economics,9(B),analyze business cycles using key economic indicators
High School,Economics,10(A),analyze how productivity relates to growth
High School,Economics,10(B),analyze how technology relates to growth
High School,Economics,10(C),analyze how trade relates to growth
High School,Economics,11(A),describe the functions of money
High School,Economics,11(B),"describe the characteristics of money, including commodity money, fiat money, and representative money"
High School,Economics,11(C),"analyze the positive and negative aspects of barter, currency, and debit cards"
High School,Economics,12(A),explain the structure of the Federal Reserve System
High School,Economics,12(B),"analyze the three basic tools used to implement U.S. monetary policy, including reserve requirements, the discount rate and the federal funds rate target, and open-market operations"
High School,Economics,12(C),explain how the actions of the Federal Reserve System affect the nation's money supply
High School,Economics,12(D),"describe the current role of the U.S. dollar in trade in the world market and analyze how that has changed over time, in particular since departing from the gold standard in 1971"
High School,Economics,13(A),describe the role of government in the U.S. free enterprise system and the changes in that role over time
High School,Economics,13(B),"analyze the costs and benefits of U.S. economic policies, rules, and regulations related to the economic goals of economic growth, stability, full employment, freedom, security, equity (equal opportunity versus equal outcome), and efficiency"
High School,Economics,14(A),"identify types of taxes at the local, state, and national levels and the economic importance of each"
High School,Economics,14(B),explain the categories of revenues and expenditures in the U.S. federal budget
High School,Economics,14(C),analyze the impact of fiscal policy decisions on the economy
High School,Economics,15(A),"explain the characteristics of sole proprietorships, partnerships, and corporations"
High School,Economics,15(B),"analyze the advantages and disadvantages of sole proprietorships, partnerships, and corporations"
High School,Economics,16(A),explain the functions of financial institutions and how they affect households and businesses
High School,Economics,16(B),explain how the amount of savings in an economy is the basis of capital formation
High School,Economics,16(C),analyze the role of interest and risk in allocating savings to its most productive use
High School,Economics,16(D),"examine the types of accounts available to consumers from financial institutions and the risks, monetary costs, and benefits of maintaining these accounts"
High School,Economics,17(A),assess ways to be a wise investor in the stock market and in other personal investment options such as developing a personal retirement plan
High School,Economics,17(B),explain how to begin a savings program
High School,Economics,17(C),"demonstrate how to maintain a checking account, including reconciling a bank statement"
High School,Economics,17(D),identify the types of loans available to consumers
High School,Economics,17(E),explain the responsibilities and obligations of borrowing money
High School,Economics,17(F),develop strategies to become a low-risk borrower by improving and understanding one's personal credit score
High School,Economics,18(A),examine ways to avoid and eliminate credit card debt
High School,Economics,18(B),evaluate the costs and benefits of declaring personal bankruptcy
High School,Economics,18(C),evaluate the costs and benefits of buying insurance
High School,Economics,18(D),evaluate the costs and benefits of charitable giving
High School,Economics,19(A),evaluate the costs and benefits of renting a home versus buying a home
High School,Economics,19(B),assess the financial aspects of making the transition from renting to home ownership
High School,Economics,20(A),understand how to complete the Free Application for Federal Student Aid (FAFSA) provided by the United States Department of Education
High School,Economics,20(B),research and evaluate various scholarship opportunities
High School,Economics,20(C),analyze and compare student grant options
High School,Economics,20(D),"analyze and compare student loan options, including private and federal loans"
High School,Economics,20(E),research and evaluate various work-study program opportunities
High School,Economics,21(A),"analyze economic information by sequencing, categorizing, identifying cause-and-effect relationships, comparing, contrasting, finding the main idea, summarizing, making generalizations and predictions, and drawing inferences and conclusions"
High School,Economics,21(B),"create economic models, including production-possibilities curves, circular-flow charts, and supply-and-demand graphs, to analyze economic concepts or issues"
High School,Economics,21(C),explain a point of view on an economic issue
High School,Economics,21(D),"analyze and evaluate a variety of economic information from primary and secondary sources for validity, credibility, accuracy, bias, propaganda, point of view, and frame of reference"
High School,Economics,21(E),"evaluate economic data using charts, tables, graphs, and maps"
High School,Economics,21(F),"formulate and communicate visually, orally, or in writing a claim supported by evidence and reasoning for an intended audience and purpose"
High School,Economics,22(A),use social studies terminology correctly
High School,Economics,22(B),"create written, oral, and visual presentations of economic information using effective communication skills, including proper citations and avoiding plagiarism"
High School,Economics,22(C),"apply foundational language skills to engage in civil discourse about economics topics, including those with multiple perspectives"
High School,Economics,23,"use problem-solving and decision-making processes to identify a problem, gather information, list and consider options, consider advantages and disadvantages, choose and implement a solution, and evaluate the effectiveness of the solution"
High School,English I,1(A),"engage in meaningful and respectful discourse by listening actively, responding appropriately, and adjusting communication to audiences and purposes"
High School,English I,1(B),"follow and give complex oral instructions to perform specific tasks, answer questions, or solve problems and complex processes"
High School,English I,1(C),"give a presentation using informal, formal, and technical language effectively to meet the needs of audience, purpose, and occasion, employing eye contact, speaking rate such as pauses for effect, volume, enunciation, purposeful gestures, and conventions of language to communicate ideas effectively; and"
High School,English I,1(D),"participate collaboratively, building on the ideas of others, contributing relevant information, developing a plan for consensus building, and setting ground rules for decision making"
High School,English I,2(A),use print or digital resources such as glossaries or technical dictionaries to clarify and validate understanding of the precise and appropriate meaning of technical or discipline-based vocabulary
High School,English I,2(B),analyze context to distinguish between the denotative and connotative meanings of words; and
High School,English I,2(C),"determine the meaning of foreign words or phrases used frequently in English such as bona fide, caveat, carte blanche, tête-à-tête, bon appétit, and quid pro quo"
High School,English I,3(A),establish purpose for reading assigned and self-selected texts
High School,English I,3(B),"generate questions about text before, during, and after reading to deepen understanding and gain information"
High School,English I,3(C),"make and correct or confirm predictions using text features, characteristics of genre, and structures"
High School,English I,3(D),create mental images to deepen understanding
High School,English I,3(E),"make connections to personal experiences, ideas in other texts, and society"
High School,English I,3(F),make inferences and use evidence to support understanding
High School,English I,3(G),evaluate details read to determine key ideas
High School,English I,3(H),synthesize information from two texts to create new understanding; and
High School,English I,3(I),"monitor comprehension and make adjustments such as re-reading, using background knowledge, asking questions, and annotating when understanding breaks down"
High School,English I,5(A),"describe personal connections to a variety of sources, including self-selected texts"
High School,English I,5(B),"write responses that demonstrate understanding of texts, including comparing texts within and across genres"
High School,English I,5(C),use text evidence and original commentary to support a comprehensive response
High School,English I,5(D),paraphrase and summarize texts in ways that maintain meaning and logical order
High School,English I,5(E),"interact with sources in meaningful ways such as notetaking, annotating, freewriting, or illustrating"
High School,English I,5(F),respond using acquired content and academic vocabulary as appropriate
High School,English I,5(G),discuss and write about the explicit or implicit meanings of text
High School,English I,5(H),"respond orally or in writing with appropriate register, vocabulary, tone, and voice"
High School,English I,5(I),reflect on and adjust responses when valid evidence warrants; and
High School,English I,5(J),defend or challenge the authors' claims using relevant text evidence.; and
High School,English I,6(A),analyze how themes are developed through characterization and plot in a variety of literary texts
High School,English I,6(B),"analyze how authors develop complex yet believable characters in works of fiction through a range of literary devices, including character foils"
High School,English I,6(C),"analyze non-linear plot development such as flashbacks, foreshadowing, subplots, and parallel plot structures and compare it to linear plot development; and"
High School,English I,6(D),analyze how the setting influences the theme
High School,English I,7(A),"read and respond to American, British, and world literature"
High School,English I,7(B),"analyze the structure, prosody, and graphic elements such as line length and word position in poems across a variety of poetic forms"
High School,English I,7(C),"analyze the function of dramatic conventions such as asides, soliloquies, dramatic irony, and satire"
High School,English I,7(D),"analyze characteristics and structural elements of informational texts such as: (i) clear thesis, relevant supporting evidence, pertinent examples, and conclusion; and (ii) multiple organizational patterns within a text to develop the thesis"
High School,English I,7(E),"analyze characteristics and structural elements of argumentative texts such as: (i) clear arguable claim, appeals, and convincing conclusion; (ii) various types of evidence and treatment of counterarguments, including concessions and rebuttals; and (iii) identifiable audience or reader; and"
High School,English I,7(F),analyze characteristics of multimodal and digital texts
High School,English I,8(A),"analyze the author's purpose, audience, and message within a text"
High School,English I,8(B),analyze use of text structure to achieve the author's purpose
High School,English I,8(C),evaluate the author's use of print and graphic features to achieve specific purposes
High School,English I,8(D),analyze how the author's use of language achieves specific purposes
High School,English I,8(E),analyze the use of literary devices such as irony and oxymoron to achieve specific purposes
High School,English I,8(F),"analyze how the author's diction and syntax contribute to the mood, voice, and tone of a text; and"
High School,English I,8(G),explain the purpose of rhetorical devices such as understatement and overstatement and the effect of logical fallacies such as straw man and red herring arguments.; and
High School,English I,9(A),"plan a piece of writing appropriate for various purposes and audiences by generating ideas through a range of strategies such as brainstorming, journaling, reading, or discussing"
High School,English I,9(B),"develop drafts into a focused, structured, and coherent piece of writing in timed and open-ended situations by: (i) using an organizing structure appropriate to purpose, audience, topic, and context; and (ii) developing an engaging idea reflecting depth of thought with specific details, examples, and commentary"
High School,English I,9(C),"revise drafts to improve clarity, development, organization, style, diction, and sentence effectiveness, including use of parallel constructions and placement of phrases and dependent clauses"
High School,English I,9(D),"edit drafts using standard English conventions, including: (i) a variety of complete, controlled sentences and avoidance of unintentional splices, run-ons, and fragments; (ii) consistent, appropriate use of verb tense and active and passive voice; (iii) pronoun-antecedent agreement; (iv) correct capitalization; (v) punctuation, including commas, semicolons, colons, and dashes to set off phrases and clauses as appropriate; and (vi) correct spelling; and"
High School,English I,9(E),publish written work for appropriate audiences
High School,English I,10(A),compose literary texts such as fiction and poetry using genre characteristics and craft
High School,English I,10(B),"compose informational texts such as explanatory essays, reports, and personal essays using genre characteristics and craft"
High School,English I,10(C),compose argumentative texts using genre characteristics and craft; and
High School,English I,10(D),compose correspondence in a professional or friendly structure
High School,English I,11(A),develop questions for formal and informal inquiry
High School,English I,11(B),critique the research process at each step to implement changes as needs occur and are identified
High School,English I,11(C),develop and revise a plan
High School,English I,11(D),modify the major research question as necessary to refocus the research plan
High School,English I,11(E),locate relevant sources
High School,English I,11(F),synthesize information from a variety of sources;
High School,English I,11(G),"examine sources for: (i) credibility and bias, including omission; and (ii) faulty reasoning such as ad hominem, loaded language, and slippery slope"
High School,English I,11(H),"display academic citations, including for paraphrased and quoted text, and use source materials ethically to avoid plagiarism; and"
High School,English I,11(I),"use an appropriate mode of delivery, whether written, oral, or multimodal, to present results"
High School,English II,1(A),"engage in meaningful and respectful discourse by listening actively, responding appropriately, and adjusting communication to audiences and purposes"
High School,English II,1(B),"follow and give complex oral instructions to perform specific tasks, answer questions, or solve problems and complex processes"
High School,English II,1(C),"give a formal presentation that incorporates a clear thesis and a logical progression of valid evidence from reliable sources and that employs eye contact, speaking rate such as pauses for effect, volume, enunciation, purposeful gestures, and conventions of language to communicate ideas effectively; and"
High School,English II,1(D),"participate collaboratively, building on the ideas of others, contributing relevant information, developing a plan for consensus building, and setting ground rules for decision making"
High School,English II,2(A),use print or digital resources such as glossaries or technical dictionaries to clarify and validate understanding of the precise and appropriate meaning of technical or discipline-based vocabulary
High School,English II,2(B),"analyze context to distinguish among denotative, connotative, and figurative meanings of words; and"
High School,English II,2(C),"determine the meaning of foreign words or phrases used frequently in English such as pas de deux, status quo, déjà vu, avant-garde, and coup d'état"
High School,English II,3(A),establish purpose for reading assigned and self-selected texts
High School,English II,3(B),"generate questions about text before, during, and after reading to deepen understanding and gain information"
High School,English II,3(C),"make and correct or confirm predictions using text features, characteristics of genre, and structures;"
High School,English II,3(D),create mental images to deepen understanding
High School,English II,3(E),"make connections to personal experiences, ideas in other texts, and society"
High School,English II,3(F),make inferences and use evidence to support understanding
High School,English II,3(G),evaluate details read to determine key ideas
High School,English II,3(H),synthesize information from multiple texts to create new understanding; and
High School,English II,3(I),"monitor comprehension and make adjustments such as re-reading, using background knowledge, asking questions, and annotating when understanding breaks down"
High School,English II,5(A),"describe personal connections to a variety of sources, including self-selected texts"
High School,English II,5(B),"write responses that demonstrate understanding of texts, including comparing texts within and across genres"
High School,English II,5(C),use text evidence and original commentary to support an interpretive response
High School,English II,5(D),paraphrase and summarize texts in ways that maintain meaning and logical order
High School,English II,5(E),"interact with sources in meaningful ways such as notetaking, annotating, freewriting, or illustrating"
High School,English II,5(F),respond using acquired content and academic vocabulary as appropriate
High School,English II,5(G),discuss and write about the explicit or implicit meanings of text
High School,English II,5(H),"respond orally or in writing with appropriate register, vocabulary, tone, and voice"
High School,English II,5(I),reflect on and adjust responses when valid evidence warrants; and
High School,English II,5(J),defend or challenge the authors' claims using relevant text evidence.; and
High School,English II,6(A),"analyze how themes are developed through characterization and plot, including comparing similar themes in a variety of literary texts representing different cultures"
High School,English II,6(B),"analyze how authors develop complex yet believable characters, including archetypes, through historical and cultural settings and events"
High School,English II,6(C),analyze isolated scenes and their contribution to the success of the plot as a whole; and
High School,English II,6(D),"analyze how historical and cultural settings influence characterization, plot, and theme across texts"
High School,English II,7(A),read and analyze world literature across literary periods
High School,English II,7(B),"analyze the effects of metrics; rhyme schemes; types of rhymes such as end, internal, slant, and eye; and other conventions in poems across a variety of poetic forms"
High School,English II,7(C),"analyze the function of dramatic conventions such as asides, soliloquies, dramatic irony, and satire"
High School,English II,7(D),"analyze characteristics and structural elements of informational texts such as: clear thesis, relevant supporting evidence, pertinent examples, and conclusion; and (ii) the relationship between organizational design and thesis"
High School,English II,7(E),"analyze characteristics and structural elements of argumentative texts such as: (i) clear arguable claim, appeals, and convincing conclusion; (ii) various types of evidence and treatment of counterarguments, including concessions and rebuttals; and (iii) identifiable audience or reader; and"
High School,English II,7(F),analyze characteristics of multimodal and digital texts
High School,English II,8(A),"analyze the author's purpose, audience, and message within a text"
High School,English II,8(B),analyze use of text structure to achieve the author's purpose
High School,English II,8(C),evaluate the author's use of print and graphic features to achieve specific purposes
High School,English II,8(D),analyze how the author's use of language informs and shapes the perception of readers
High School,English II,8(E),"analyze the use of literary devices such as irony, sarcasm, and motif to achieve specific purposes"
High School,English II,8(F),"analyze how the author's diction and syntax contribute to the mood, voice, and tone of a text; and"
High School,English II,8(G),"analyze the purpose of rhetorical devices such as appeals, antithesis, parallelism, and shifts and the effects of logical fallacies"
High School,English II,9(A),"plan a piece of writing appropriate for various purposes and audiences by generating ideas through a range of strategies such as brainstorming, journaling, reading, or discussing"
High School,English II,9(B),"develop drafts into a focused, structured, and coherent piece of writing in timed and open-ended situations by: (i) using an organizing structure appropriate to purpose, audience, topic, and context; and (ii) developing an engaging idea reflecting depth of thought with specific details, examples, and commentary"
High School,English II,9(C),"revise drafts to improve clarity, development, organization, style, diction, and sentence effectiveness, including use of parallel constructions and placement of phrases and dependent clauses"
High School,English II,9(D),"edit drafts using standard English conventions, including: (i) a variety of complete, controlled sentences and avoidance of unintentional splices, run-ons, and fragments; (ii) consistent, appropriate use of verb tense and active and passive voice; pronoun-antecedent agreement; (iv) correct capitalization; (v) punctuation, including commas, semicolons, colons, dashes, and parentheses to set off phrases and clauses as appropriate; and (vi) correct spelling; and"
High School,English II,9(E),publish written work for appropriate audiences
High School,English II,10(A),compose literary texts such as fiction and poetry using genre characteristics and craft
High School,English II,10(B),"compose informational texts such as explanatory essays, reports, and personal essays using genre characteristics and craft"
High School,English II,10(C),compose argumentative texts using genre characteristics and craft; and
High School,English II,10(D),compose correspondence in a professional or friendly structure
High School,English II,11(A),develop questions for formal and informal inquiry
High School,English II,11(B),critique the research process at each step to implement changes as needs occur and are identified
High School,English II,11(C),develop and revise a plan
High School,English II,11(D),modify the major research question as necessary to refocus the research plan
High School,English II,11(E),locate relevant sources
High School,English II,11(F),synthesize information from a variety of sources
High School,English II,11(G),"examine sources for: (i) credibility and bias, including omission; and (ii) faulty reasoning such as incorrect premise, hasty generalizations, and either-or"
High School,English II,11(H),"display academic citations, including for paraphrased and quoted text, and use source materials ethically to avoid plagiarism; and"
High School,English II,11(I),"use an appropriate mode of delivery, whether written, oral, or multimodal, to present results"
High School,English III,1(A),engage in meaningful and respectful discourse when evaluating the clarity and coherence of a speaker's message and critiquing the impact of a speaker's use of diction and syntax
High School,English III,1(B),"follow and give complex instructions, clarify meaning by asking pertinent questions, and respond appropriately;"
High School,English III,1(C),"give a formal presentation that exhibits a logical structure, smooth transitions, accurate evidence, well-chosen details, and rhetorical devices and that employs eye contact, speaking rate such as pauses for effect, volume, enunciation, purposeful gestures, and conventions of language to communicate ideas effectively; and"
High School,English III,1(D),"participate collaboratively, offering ideas or judgments that are purposeful in moving the team toward goals, asking relevant and insightful questions, tolerating a range of positions and ambiguity in decision making, and evaluating the work of the group based on agreed-upon criteria"
High School,English III,2(A),use print or digital resources to clarify and validate understanding of multiple meanings of advanced vocabulary
High School,English III,2(B),analyze context to draw conclusions about nuanced meanings such as in imagery; and
High School,English III,2(C),"determine the meaning of foreign words or phrases used frequently in English such as ad hoc, faux pas, non sequitur, and modus operandi"
High School,English III,3(A),establish purpose for reading assigned and self-selected texts
High School,English III,3(B),"generate questions about text before, during, and after reading to deepen understanding and gain information"
High School,English III,3(C),"make and correct or confirm predictions using text features, characteristics of genre, and structures"
High School,English III,3(D),create mental images to deepen understanding
High School,English III,3(E),"make connections to personal experiences, ideas in other texts, and society"
High School,English III,3(F),make inferences and use evidence to support understanding
High School,English III,3(G),evaluate details read to understand key ideas
High School,English III,3(H),synthesize information from a variety of text types to create new understanding; and
High School,English III,3(I),"monitor comprehension and make adjustments such as re-reading, using background knowledge, asking questions, annotating, and using outside sources when understanding breaks down"
High School,English III,5(A),"describe personal connections to a variety of sources, including self-selected texts"
High School,English III,5(B),"write responses that demonstrate analysis of texts, including comparing texts within and across genres"
High School,English III,5(C),use text evidence and original commentary to support an analytic response
High School,English III,5(D),paraphrase and summarize texts in ways that maintain meaning and logical order;
High School,English III,5(E),"interact with sources in meaningful ways such as notetaking, annotating, freewriting, or illustrating"
High School,English III,5(F),respond using acquired content and academic vocabulary as appropriate
High School,English III,5(G),discuss and write about the explicit and implicit meanings of text
High School,English III,5(H),"respond orally or in writing with appropriate register and effective vocabulary, tone, and voice"
High School,English III,5(I),reflect on and adjust responses when valid evidence warrants; and
High School,English III,5(J),defend or challenge the authors' claims using relevant text evidence
High School,English III,6(A),"analyze relationships among thematic development, characterization, point of view, significance of setting, and plot in a variety of literary texts"
High School,English III,6(B),analyze how characters' behaviors and underlying motivations contribute to moral dilemmas that influence the plot and theme
High School,English III,6(C),evaluate how different literary elements shape the author's portrayal of the plot; and
High School,English III,6(D),"analyze how the historical, social, and economic context of setting(s) influences the plot, characterization, and theme"
High School,English III,7(A),read and analyze American literature across literary periods
High School,English III,7(B),"analyze relationships among characteristics of poetry, including stanzas, line breaks, speaker, and sound devices in poems across a variety of poetic forms"
High School,English III,7(C),analyze how the relationships among dramatic elements advance the plot
High School,English III,7(D),"analyze characteristics and structural elements of informational texts such as: (i) clear thesis, strong supporting evidence, pertinent examples, commentary, summary, and conclusion; and (ii) the relationship between organizational design and author's purpose"
High School,English III,7(E),"analyze characteristics and structural elements of argumentative texts such as: (i) clear arguable thesis, appeals, structure of the argument, convincing conclusion, and call to action; (ii) various types of evidence and treatment of counterarguments, including concessions and rebuttals; and (iii) identifiable audience or reader; and"
High School,English III,7(F),analyze the effectiveness of characteristics of multimodal and digital texts
High School,English III,8(A),"analyze the author's purpose, audience, and message within a text;"
High School,English III,8(B),evaluate use of text structure to achieve the author's purpose
High School,English III,8(C),evaluate the author's use of print and graphic features to achieve specific purposes
High School,English III,8(D),evaluate how the author's use of language informs and shapes the perception of readers
High School,English III,8(E),"evaluate the use of literary devices such as paradox, satire, and allegory to achieve specific purposes"
High School,English III,8(F),"evaluate how the author's diction and syntax contribute to the mood, voice, and tone of a text; and"
High School,English III,8(G),analyze the effects of rhetorical devices and logical fallacies on the way the text is read and understood
High School,English III,9(A),"plan a piece of writing appropriate for various purposes and audiences by generating ideas through a range of strategies such as brainstorming, journaling, reading, or discussing"
High School,English III,9(B),"develop drafts into a focused, structured, and coherent piece of writing in timed and open-ended situations by: (i) using strategic organizational structures appropriate to purpose, audience, topic, and context; and (ii) developing an engaging idea reflecting depth of thought with effective use of rhetorical devices, details, examples, and commentary"
High School,English III,9(C),"revise drafts to improve clarity, development, organization, style, diction, and sentence fluency, both within and between sentences"
High School,English III,9(D),edit drafts to demonstrate a command of standard English conventions using a style guide as appropriate; and
High School,English III,9(E),publish written work for appropriate audiences
High School,English III,10(A),compose literary texts such as fiction and poetry using genre characteristics and craft
High School,English III,10(B),"compose informational texts such as explanatory essays, reports, resumes, and personal essays using genre characteristics and craft"
High School,English III,10(C),compose argumentative texts using genre characteristics and craft
High School,English III,10(D),compose correspondence in a professional or friendly structure
High School,English III,10(E),compose literary analysis using genre characteristics and craft; and
High School,English III,10(F),compose rhetorical analysis using genre characteristics and craft
High School,English III,11(A),develop questions for formal and informal inquiry
High School,English III,11(B),critique the research process at each step to implement changes as needs occur and are identified
High School,English III,11(C),develop and revise a plan;
High School,English III,11(D),modify the major research question as necessary to refocus the research plan
High School,English III,11(E),locate relevant sources
High School,English III,11(F),synthesize information from a variety of sources
High School,English III,11(G),"examine sources for: (i) credibility, bias, and accuracy; and (ii) faulty reasoning such as post hoc-ad hoc, circular reasoning, red herring, and assumptions"
High School,English III,11(H),"display academic citations, including for paraphrased and quoted text, and use source materials ethically to avoid plagiarism; and"
High School,English III,11(I),"use an appropriate mode of delivery, whether written, oral, or multimodal, to present results"
High School,English IV,1(A),"engage in meaningful and respectful discourse when evaluating the clarity and coherence of a speaker's message and critiquing the impact of a speaker's use of diction, syntax, and rhetorical strategies"
High School,English IV,1(B),"follow and give complex instructions, clarify meaning by asking pertinent questions, and respond appropriately"
High School,English IV,1(C),"formulate sound arguments and present using elements of classical speeches such as introduction, first and second transitions, body, conclusion, the art of persuasion, rhetorical devices, employing eye contact, speaking rate such as pauses for effect, volume, enunciation, purposeful gestures, and conventions of language to communicate ideas effectively; and"
High School,English IV,1(D),"participate collaboratively, offering ideas or judgments that are purposeful in moving the team toward goals, asking relevant and insightful questions, tolerating a range of positions and ambiguity in decision making, and evaluating the work of the group based on agreed-upon criteria"
High School,English IV,2(A),use print or digital resources to clarify and validate understanding of multiple meanings of advanced vocabulary
High School,English IV,2(B),analyze context to draw conclusions about nuanced meanings such as in imagery; and
High School,English IV,2(C),"determine the meaning of foreign words or phrases used frequently in English such as ad nauseum, in loco parentis, laissez-faire, and caveat emptor"
High School,English IV,3(A),establish purpose for reading assigned and self-selected texts;
High School,English IV,3(B),"generate questions about text before, during, and after reading to deepen understanding and gain information"
High School,English IV,3(C),"make and correct or confirm predictions using text features, characteristics of genre, and structures"
High School,English IV,3(D),create mental images to deepen understanding
High School,English IV,3(E),"make connections to personal experiences, ideas in other texts, and society"
High School,English IV,3(F),make inferences and use evidence to support understanding
High School,English IV,3(G),evaluate details read to analyze key ideas
High School,English IV,3(H),synthesize information from a variety of text types to create new understanding; and
High School,English IV,3(I),"monitor comprehension and make adjustments such as re-reading, using background knowledge, asking questions, annotating, and using outside sources when understanding breaks down"
High School,English IV,5(A),"describe personal connections to a variety of sources, including self-selected texts"
High School,English IV,5(B),"write responses that demonstrate analysis of texts, including comparing texts within and across genres"
High School,English IV,5(C),use text evidence and original commentary to support an evaluative response
High School,English IV,5(D),paraphrase and summarize texts in ways that maintain meaning and logical order
High School,English IV,5(E),"interact with sources in meaningful ways such as notetaking, annotating, freewriting, or illustrating"
High School,English IV,5(F),respond using acquired content and academic vocabulary as appropriate
High School,English IV,5(G),discuss and write about the explicit and implicit meanings of text
High School,English IV,5(H),"respond orally or in writing with appropriate register and purposeful vocabulary, tone, and voice"
High School,English IV,5(I),reflect on and adjust responses when valid evidence warrants; and
High School,English IV,5(J),defend or challenge the authors' claims using relevant text evidence
High School,English IV,6(A),"analyze relationships among thematic development, characterization, point of view, significance of setting, and plot in a variety of literary texts"
High School,English IV,6(B),analyze how characters' behaviors and underlying motivations contribute to moral dilemmas that influence the plot and theme
